exchange,type,rank,symbol,name,price,price_change_24h,price_change_percentage_24h,volume_24h,market_cap,timestamp
bybit,gainer,19,PUMPBTC,PUMPBTC,0.03714,0.002440098,6.569999999999999,298592.730878,,2025-06-28T01:14:17.329078
bybit,gainer,20,DOOD,DOOD,0.002288,0.0001468896,6.419999999999999,216652.4638644,,2025-06-28T01:14:17.329085
bybit,gainer,21,DEEP,DEEP,0.1325,0.00838725,6.329999999999999,2765828.393042,,2025-06-28T01:14:17.329092
bybit,gainer,22,FAR,FAR,0.000444,2.76168e-05,6.22,387628.827019247,,2025-06-28T01:14:17.329099
bybit,gainer,23,WCT,WCT,0.3092,0.01889212,6.11,948238.41929,,2025-06-28T01:14:17.329106
bybit,gainer,24,ARTY,ARTY,0.1721,0.010274370000000001,5.970000000000001,22943.812317,,2025-06-28T01:14:17.329113
bybit,gainer,25,DOLO,DOLO,0.03591,0.002140236,5.96,281463.194231,,2025-06-28T01:14:17.329120
bybit,gainer,26,PELL,PELL,0.002585,0.000145794,5.64,105781.419452,,2025-06-28T01:14:17.329127
bybit,gainer,27,NEWT,NEWT,0.39292,0.021846352,5.56,9815485.291614,,2025-06-28T01:14:17.329134
bybit,gainer,28,ELX,ELX,0.10451,0.005403167,5.17,39976508.803584,,2025-06-28T01:14:17.329140
bybit,gainer,29,ORDER,ORDER,0.0759,0.00388608,5.12,703687.512539,,2025-06-28T01:14:17.329147
